code_name,Molecule,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,xtbjson
mol_66,"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.844,1,4,2,54.37,-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,QDESCP/boltz/mol_66_rdkit_boltz.json
mol_67,Trietazine,-3.233,1,229.715,1,1,5,53.94,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC,QDESCP/boltz/mol_67_rdkit_boltz.json
mol_68,Pyrazinamide,-0.674,1,123.115,1,1,1,68.87,-0.667,NC(=O)c1cnccn1,QDESCP/boltz/mol_68_rdkit_boltz.json
mol_69,Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O,QDESCP/boltz/mol_69_rdkit_boltz.json
mol_70,"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1c2ccccc2Cl ,QDESCP/boltz/mol_70_rdkit_boltz.json
mol_71,nitrofurantoin,-1.243,1,238.159,1,2,3,118.05,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,QDESCP/boltz/mol_71_rdkit_boltz.json
mol_72,Nitrofen,-5.361,1,284.098,0,2,3,52.37,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,QDESCP/boltz/mol_72_rdkit_boltz.json
mol_73,Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC1(C)C2CCC1(C)C(=O)C2,QDESCP/boltz/mol_73_rdkit_boltz.json
mol_74,5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,QDESCP/boltz/mol_74_rdkit_boltz.json
mol_75,Pentyl propanoate,-1.899,1,130.187,0,0,4,26.3,-2.25,CCCCC(=O)OCC,QDESCP/boltz/mol_75_rdkit_boltz.json
mol_76,Isopentyl acetate,-1.817,1,130.187,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C,QDESCP/boltz/mol_76_rdkit_boltz.json
mol_77,3-Hexanoyloxymethylphenyltoin,-4.153,1,380.444,1,3,8,75.71,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,QDESCP/boltz/mol_77_rdkit_boltz.json
mol_78,"2,3',5-PCB",-5.762,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,QDESCP/boltz/mol_78_rdkit_boltz.json
mol_79,1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr,QDESCP/boltz/mol_79_rdkit_boltz.json
mol_80,Propiconazole,-4.603,1,342.226,0,3,5,49.17,-3.493,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,QDESCP/boltz/mol_80_rdkit_boltz.json
mol_81,Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,QDESCP/boltz/mol_81_rdkit_boltz.json
mol_82,4-methylpteridine,-1.24,1,146.153,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12,QDESCP/boltz/mol_82_rdkit_boltz.json
mol_83,Thiourea,0.329,1,76.124,2,0,0,52.04,0.32,NC(=S)N,QDESCP/boltz/mol_83_rdkit_boltz.json
mol_84,p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,QDESCP/boltz/mol_84_rdkit_boltz.json
mol_85,"1,2-Diethylbenzene",-3.601,1,134.222,0,1,2,0.0,-3.28,CCc1ccccc1CC,QDESCP/boltz/mol_85_rdkit_boltz.json
mol_86,Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,QDESCP/boltz/mol_86_rdkit_boltz.json
mol_87,Flucythrinate,-6.878,1,451.469,0,3,9,68.55,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,QDESCP/boltz/mol_87_rdkit_boltz.json
mol_88,1-Nitropropane,-0.816,1,89.094,0,0,2,43.14,-0.8,CCCN(=O)=O,QDESCP/boltz/mol_88_rdkit_boltz.json
mol_89,Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,CC(C)C1CCC(C)CC1=O,QDESCP/boltz/mol_89_rdkit_boltz.json
mol_90,RTI 24,-4.423,1,273.723,1,3,1,45.23,-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,QDESCP/boltz/mol_90_rdkit_boltz.json
mol_91,"2,3-Dichloronitrobenzene",-3.322,1,192.001,0,1,1,43.14,-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1,QDESCP/boltz/mol_91_rdkit_boltz.json
mol_92,thiamylal,-3.063,1,254.355,2,1,5,58.2,-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,QDESCP/boltz/mol_92_rdkit_boltz.json
mol_93,Fluoranthene,-4.957,2,202.256,0,4,0,0.0,-6.0,c1ccc2c(c1)c3cccc4cccc2c34,QDESCP/boltz/mol_93_rdkit_boltz.json
mol_94,Propylisopropylether,-1.354,1,102.177,0,0,3,9.23,-1.34,CCCOC(C)C,QDESCP/boltz/mol_94_rdkit_boltz.json
mol_95,"1,3-Dimethylnaphthalene",-4.147,1,156.228,0,2,0,0.0,-4.29,Cc1cc(C)c2ccccc2c1,QDESCP/boltz/mol_95_rdkit_boltz.json
mol_96,diethylstilbestrol,-5.074,1,268.356,2,2,4,40.46,-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,QDESCP/boltz/mol_96_rdkit_boltz.json
mol_97,Chlorothalonil,-3.995,1,265.914,0,1,0,47.58,-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,QDESCP/boltz/mol_97_rdkit_boltz.json
mol_98,"2,3',4',5-PCB",-6.312,1,291.992,0,2,1,0.0,-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,QDESCP/boltz/mol_98_rdkit_boltz.json
mol_99,styrene oxide,-1.826,2,120.151,0,2,1,12.53,-1.6,C1OC1c2ccccc2 ,QDESCP/boltz/mol_99_rdkit_boltz.json
mol_100,Isopropylbenzene ,-3.265,1,120.195,0,1,1,0.0,-3.27,CC(C)c1ccccc1,QDESCP/boltz/mol_100_rdkit_boltz.json
mol_101,Deoxycorticosterone,-3.939,1,330.468,1,4,2,54.37,-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,QDESCP/boltz/mol_101_rdkit_boltz.json
mol_102,chlorquinox,-4.438,1,267.93,0,2,0,25.78,-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,QDESCP/boltz/mol_102_rdkit_boltz.json
mol_103,L-arabinose,0.601,1,150.13,4,1,0,90.15,0.39,C1OC(O)C(O)C(O)C1O,QDESCP/boltz/mol_103_rdkit_boltz.json
mol_104,Dichloromethane,-1.156,1,84.933,0,0,0,0.0,-0.63,ClCCl,QDESCP/boltz/mol_104_rdkit_boltz.json
mol_105,1-Ethylnaphthalene ,-4.1,1,156.228,0,2,1,0.0,-4.17,CCc1cccc2ccccc12,QDESCP/boltz/mol_105_rdkit_boltz.json
mol_106,Methyl formate,-0.048,1,60.052,0,0,1,26.3,0.58,COC=O,QDESCP/boltz/mol_106_rdkit_boltz.json
mol_107,o-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.74,Oc1ccccc1N(=O)=O,QDESCP/boltz/mol_107_rdkit_boltz.json
mol_108,thymine,-0.78,1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O ,QDESCP/boltz/mol_108_rdkit_boltz.json
mol_109,2-Methylpropane,-1.891,1,58.124,0,0,0,0.0,-2.55,CC(C)C,QDESCP/boltz/mol_109_rdkit_boltz.json
mol_110,Inosine,-0.834,1,268.229,4,3,2,133.75,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,QDESCP/boltz/mol_110_rdkit_boltz.json
mol_111,Ioxynil,-4.615,1,370.915,1,1,0,44.02,-3.61,Oc1c(I)cc(C#N)cc1I,QDESCP/boltz/mol_111_rdkit_boltz.json
mol_112,Niclosamide,-5.032,1,327.123,2,2,3,92.47,-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,QDESCP/boltz/mol_112_rdkit_boltz.json
mol_113,Pentane,-2.261,1,72.151,0,0,2,0.0,-3.18,CCCCC,QDESCP/boltz/mol_113_rdkit_boltz.json
mol_114,Phenol,-1.991,1,94.113,1,1,0,20.23,0.0,c1ccccc1O,QDESCP/boltz/mol_114_rdkit_boltz.json
mol_115,2-aminoanthracene,-3.789,1,193.249,1,3,0,26.02,-5.17,Nc3ccc2cc1ccccc1cc2c3 ,QDESCP/boltz/mol_115_rdkit_boltz.json
mol_116,theobromine,-1.05,1,180.167,1,2,0,72.68,-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,QDESCP/boltz/mol_116_rdkit_boltz.json
mol_117,Isoquinoline,-2.531,2,129.162,0,2,0,12.89,-1.45,c1ccc2cnccc2c1,QDESCP/boltz/mol_117_rdkit_boltz.json
mol_118,Anilofos,-5.106,1,367.86,0,1,7,38.77,-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,QDESCP/boltz/mol_118_rdkit_boltz.json
mol_119,Hexylbenzene ,-4.22,1,162.276,0,1,5,0.0,-5.21,CCCCCCc1ccccc1,QDESCP/boltz/mol_119_rdkit_boltz.json
mol_120,2-Chlorobiphenyl,-4.528,1,188.657,0,2,1,0.0,-4.54,Clc1ccccc1c2ccccc2,QDESCP/boltz/mol_120_rdkit_boltz.json
mol_121,2-Methyl-1-Pentene,-2.348,1,84.162,0,0,2,0.0,-3.03,CCCC(=C)C,QDESCP/boltz/mol_121_rdkit_boltz.json
mol_122,"2,3,4-Trimethylpentane",-3.276,1,114.232,0,0,2,0.0,-4.8,CC(C)C(C)C(C)C,QDESCP/boltz/mol_122_rdkit_boltz.json
mol_123,Pentachlorobenzene,-5.168,1,250.339,0,1,0,0.0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,QDESCP/boltz/mol_123_rdkit_boltz.json
mol_124,m-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.01,Oc1cccc(c1)N(=O)=O,QDESCP/boltz/mol_124_rdkit_boltz.json
mol_125,1-Decene,-3.781,1,140.27,0,0,7,0.0,-5.51,CCCCCCCCC=C,QDESCP/boltz/mol_125_rdkit_boltz.json
mol_126,Glyceryl triacetate,-1.285,1,218.205,0,0,5,78.9,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C,QDESCP/boltz/mol_126_rdkit_boltz.json
mol_127,dimethirimol,-3.57,1,209.293,1,1,4,49.25,-2.24,CCCCc1c(C)nc(nc1O)N(C)C ,QDESCP/boltz/mol_127_rdkit_boltz.json
mol_128,Cyfluthrin,-6.84,1,434.294,0,3,6,59.32,-7.337,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,QDESCP/boltz/mol_128_rdkit_boltz.json
mol_129,Pyridine,-1.481,2,79.102,0,1,0,12.89,0.76,c1ccncc1,QDESCP/boltz/mol_129_rdkit_boltz.json
mol_130,1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr,QDESCP/boltz/mol_130_rdkit_boltz.json
mol_131,"3,4-Dimethylpyridine",-2.067,1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C,QDESCP/boltz/mol_131_rdkit_boltz.json
mol_132,Fludrocortisone,-3.172,1,380.456,3,4,2,94.83,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,QDESCP/boltz/mol_132_rdkit_boltz.json
mol_133,ethiofencarb,-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC ,QDESCP/boltz/mol_133_rdkit_boltz.json
mol_134,Malonic acid diethylester,-1.413,1,160.169,0,0,4,52.6,-0.82,CCOC(=O)CC(=O)OCC,QDESCP/boltz/mol_134_rdkit_boltz.json
mol_135,d-Limonene,-3.429,1,136.238,0,1,1,0.0,-4.26,CC1=CCC(CC1)C(C)=C,QDESCP/boltz/mol_135_rdkit_boltz.json
mol_136,Indan,-3.057,2,118.179,0,2,0,0.0,-3.04,C1Cc2ccccc2C1,QDESCP/boltz/mol_136_rdkit_boltz.json
mol_137,p-t-Butylphenol,-3.192,1,150.221,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1,QDESCP/boltz/mol_137_rdkit_boltz.json
mol_138,Cyclopropyl-5-spirobarbituric acid,-0.088,1,154.125,2,2,0,75.27,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 ,QDESCP/boltz/mol_138_rdkit_boltz.json
mol_139,m-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-3.55,Clc1cccc(I)c1,QDESCP/boltz/mol_139_rdkit_boltz.json
mol_140,1-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12,QDESCP/boltz/mol_140_rdkit_boltz.json
mol_141,trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54,CC/C=C/C,QDESCP/boltz/mol_141_rdkit_boltz.json
mol_142,"2,6-Dimethylpyridine",-2.098,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1,QDESCP/boltz/mol_142_rdkit_boltz.json
mol_143,Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl,QDESCP/boltz/mol_143_rdkit_boltz.json
mol_144,1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12,QDESCP/boltz/mol_144_rdkit_boltz.json
mol_145,m-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.82,Cc1cccc(C)c1,QDESCP/boltz/mol_145_rdkit_boltz.json
mol_146,2-hydroxypteridine,-1.404,1,148.125,1,2,0,71.79,-1.947,Oc2ncc1nccnc1n2,QDESCP/boltz/mol_146_rdkit_boltz.json
mol_147,Methanol,0.441,1,32.042,1,0,0,20.23,1.57,CO,QDESCP/boltz/mol_147_rdkit_boltz.json
mol_148,Amobarbital,-2.312,1,226.276,2,1,4,75.27,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,QDESCP/boltz/mol_148_rdkit_boltz.json
mol_149,2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52,CCC(=O)C,QDESCP/boltz/mol_149_rdkit_boltz.json
mol_150,5-fluorouracil,-0.792,1,130.078,2,1,0,65.72,-1.077,Fc1c[nH]c(=O)[nH]c1=O ,QDESCP/boltz/mol_150_rdkit_boltz.json
mol_151,tubercidin,-0.892,1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,QDESCP/boltz/mol_151_rdkit_boltz.json
mol_152,"1,3-Benzenediol",-1.59,1,110.112,2,1,0,40.46,0.81,Oc1cccc(O)c1,QDESCP/boltz/mol_152_rdkit_boltz.json
mol_153,1-Hexanol,-1.397,1,102.177,1,0,4,20.23,-1.24,CCCCCCO,QDESCP/boltz/mol_153_rdkit_boltz.json
mol_154,1-Chloropentane,-2.294,1,106.596,0,0,3,0.0,-2.73,CCCCCCl,QDESCP/boltz/mol_154_rdkit_boltz.json
mol_155,"1,3-Butadiene",-1.376,1,54.092,0,0,1,0.0,-1.87,C=CC=C,QDESCP/boltz/mol_155_rdkit_boltz.json
